Plate	Well	GeneID	Entrez_gene_ID	sublib

1	H15	ATRX	546	DDR2

1	H16	INO80D	54891	DDR2

1	H17	UBE2V1	7335	DDR2

1	H18	KAT5	10524	DDR2

1	H19	POLL	27343	DDR2

1	H20	MCM2	4171	DDR2

1	H21	GTF2H3	2967	DDR2

1	H22	MCM6	4175	DDR2

1	H23			

1	H24			

1	I01			

1	I02			

1	I03	SMC3	9126	DDR2

1	I04	SHFM1	7979	DDR2

1	I05	RAD52	5893	DDR2

1	I06	NEIL3	55247	DDR2

1	I07	FANCL	55120	DDR2

1	I08	UBE2A	7319	DDR2

1	I09	FANCD2	2177	DDR2

1	I10	PRMT6	55170	DDR2

1	I11	TRIP13	9319	DDR2

1	I12	RNF8	9025	DDR2

1	I13	TYMS	7298	DDR2

1	I14	TP53	7157	DDR2

1	I15	XPC	7508	DDR2

1	I16	RPA2	6118	DDR2

1	I17	HUS1	3364	DDR2

1	I18	MMS19	64210	DDR2

1	I19	RPS27L	51065	DDR2

1	I20	OBFC2B	79035	DDR2

1	I21	DNA2	1763	DDR2

1	I22	POLN	353497	DDR2

1	I23			

1	I24			

1	J01			

1	J02			

1	J03	EME1	146956	DDR2

1	J04	MMS22L	253714	DDR2

1	J05	POLQ	10721	DDR2

1	J06	MND1	84057	DDR2

1	J07	RAD51C	5889	DDR2

1	J08	MUM1	84939	DDR2

1	J09	MSH5	4439	DDR2

1	J10	NAP1L1	4673	DDR2

1	J11	ALKBH3	221120	DDR2

1	J12	ORC1	4998	DDR2

1	J13	LIG4	3981	DDR2

1	J14	ORC5	5001	DDR2

1	J15	ATM	472	DDR2

1	J16	PAPD7	11044	DDR2

1	J17	SMC1A	8243	DDR2

1	J18	POLD3	10714	DDR2

1	J19	CDK7	1022	DDR2

1	J20	POLR2F	5435	DDR2

1	J21	FANCA	2175	DDR2

1	J22	PSMC3IP	29893	DDR2

1	J23			

1	J24			

1	K01			

1	K02			

1	K03	MAD2L2	10459	DDR2

1	K04	HINFP	25988	DDR2

1	K05	FANCM	57697	DDR2

1	K06	MSH6	2956	DDR2

1	K07	SETMAR	6419	DDR2

1	K08	FANCE	2178	DDR2

1	K09	PRKDC	5591	DDR2

1	K10	APLF	200558	DDR2

1	K11	RASSF7	8045	DDR2

1	K12	TP53BP1	7158	DDR2

1	K13	PARP2	10038	DDR2

1	K14	MNAT1	4331	DDR2

1	K15	POLI	11201	DDR2

1	K16	SMC6	79677	DDR2

1	K17	RAD17	5884	DDR2

1	K18	CCNH	902	DDR2

