Plate	Well	GeneID	Entrez_gene_ID	sublib
1	I08	HOXB6	3216	WNT
1	I09	CREBBP	1387	WNT
1	I10	ID2	3398	WNT
1	I11	CSNK1A1	1452	WNT
1	I12	IFITM2	10581	WNT
1	I13	CSNK1A1L	122011	WNT
1	I14	INSR	3643	WNT
1	I15	CSNK1D	1453	WNT
1	I16	LNPEP	4012	WNT
1	I17	CSNK1E	1454	WNT
1	I18	ISL1	3670	WNT
1	I19	CSNK1G1	53944	WNT
1	I20	ITGA6	3655	WNT
1	I21	CSNK2A1	1457	WNT
1	I22	JAG1	182	WNT
1	I23			WNT
1	I24			WNT
1	J01			WNT
1	J02			WNT
1	J03	PPP2CA	5515	WNT
1	J04	TERT	7015	WNT
1	J05	PPP2R1A	5518	WNT
1	J06	TIAM1	7074	WNT
1	J07	PPP3CA	5530	WNT
1	J08	TLE1	7088	WNT
1	J09	PPP3CB	5532	WNT
1	J10	TLE2	7089	WNT
1	J11	PPP3CC	5533	WNT
1	J12	TNFRSF11B	4982	WNT
1	J13	PPP3R1	5534	WNT
1	J14	TNIK	23043	WNT
1	J15	PPP3R2	5535	WNT
1	J16	TNKS	8658	WNT
1	J17	PREX1	57580	WNT
1	J18	TNKS1BP1	85456	WNT
1	J19	PRICKLE1	144165	WNT
1	J20	TNKS2	80351	WNT
1	J21	PRICKLE2	166336	WNT
1	J22	TP53	7157	WNT
1	J23			WNT
1	J24			WNT
1	K01			WNT
1	K02			WNT
1	K03	CSNK2A2	1459	WNT
1	K04	JUN	3725	WNT
1	K05	CSNK2B	1460	WNT
1	K06	KAT2A	2648	WNT
1	K07	CTBP1	1487	WNT
1	K08	KIT	3815	WNT
1	K09	CTBP2	1488	WNT
1	K10	KREMEN1	83999	WNT
1	K11	CTNNA1	1495	WNT
1	K12	L1CAM	3897	WNT
1	K13	CTNNB1	1499	WNT
1	K14	LBH	81606	WNT
1	K15	CTNNBIP1	56998	WNT
1	K16	LEF1	51176	WNT
1	K17	CTNND1	1500	WNT
1	K18	LGR4	55366	WNT
1	K19	CUL1	8454	WNT
1	K20	LGR5	8549	WNT
1	K21	CXCR4	7852	WNT
1	K22	LGR6	59352	WNT
1	K23			WNT
1	K24			WNT
1	L01			WNT
1	L02			WNT
1	L03	PRKAA1	5562	WNT
1	L04	TPM4	7171	WNT
1	L05	PRKAB1	5564	WNT
1	L06	TSC1	7248	WNT
1	L07	PRKACA	5566	WNT
